bugId,effectiveness,text,keywords
15643,1,chees tabl font eclips window run note chees header thing set small font public static void main string arg displai displai displai shell shell shell displai shell set layout fill layout final tabl tabl tabl shell swt border tabl set header visibl true font data font data tabl font font data font data set height font data set height final font larg font font displai font data final tabl column column tabl column tabl swt column set text column final tabl column column tabl column tabl swt column set text column final tabl column column tabl column tabl swt column set text column int tabl item item tabl item tabl swt item set text item column pack column pack column pack shell open tabl set font larg font shell dispos displai read dispatch displai sleep larg font dispos displai dispos,header set small font
15686,5,copi content format clipboard regist build run org eclips swt texteditor text editor type text select text copi clipboard past text notepad work rtf text clipboard wordpad check clipboard format edit past special rtf show put rtf unformat text clipboard work swt build broken build,content text text select text check show text
15705,1,editor focu tab text disappear win larg font set true color bit strang editor tab focu file start letter disappear editor select tab make text visibl true file isn textcolor backgroundcolor problem,tab text color focu text
15728,3,packag view select high select class switch back packag view select element top view step open type hierarchi class select superclass open editor switch back packag view select element high visibl,select select top hierarchi select select
15868,1,style text put back doubl buffer made eclips improv scroll type remain flashi due unnecessari style set put doubl buffer back instanc felip check perform gave,made eclips scroll remain flashi style put doubl back check
15989,1,coolbar walkback ad item run attach test case move script coolitem launch coolitem row row press add button walkback linux,move coolitem coolitem row row
16110,1,style text scroll work page kei contenst select style text page page kei scroll client area caret shown window behavior arrow arrow kei good text editor open text file larg show vertic scrollbar scroll middl file edit select push page kei,style text client area caret shown
16174,1,wrong popup menu randomli edit java sourc eclips click packag view hierarchi view menu pop wrong time bring fix problem,menu pop wrong time fix
16200,6,tracker leav chees,tracker
16205,1,style text tab tab read build select portion text read style text hit tab control tab effect style text content read tab travers note work post travers listen fix pleas remov workaround,build select text style text effect style text content
16245,1,tab folder tooltip arrow tabfold move full page arrow kei tooltip tab folder show stai move insid tab area toolbar,tab folder tooltip arrow tabfold move full arrow
16333,1,access tab kei dialog box window standard tab shift tab kei dialog box move focu previou control control group eclips control tab group forc arrow kei switch focu user access devic screen reader behaviour make exist control dialog box becaus complet skip tab propos tab shift tab move focu control belong group,window control arrow switch skip
16458,1,free gdk event pointer null control print warn gdk event free assert event null fail,gdk event gdk
16549,1,navig tab notebook keyboard linux motif switch tab tab notebook keyboard work window step open tab notebook window tab focu tab hit arrow tab open tab notebook linux motif tab focu tab hit arrow,tab tab hit arrow tab tab notebook tab tab hit arrow
16553,1,swt awt panel work piec code work properli build xx public final void creat part control composit composit composit composit set layout data grid data grid data fill horizont grid data fill vertic final java awt panel ilogpanel swt awt panel composit work build log session java version java vendor sun microsystem boot loader constant os win arch ws win nl zh cn command line argument os win ws win arch featur org eclips platform instal file java dev eclips entri org eclips jdt debug ui ia ic messag intern error stack org eclips debug core debug org eclips jdi timeout org eclips jdi intern connect packet receiv manag repli packet receiv manag java org eclips jdi intern connect packet receiv manag repli packet receiv manag java org eclips jdi intern mirror impl request vm mirror impl java org eclips jdi intern mirror impl request vm mirror impl java org eclips jdi intern mirror impl request vm mirror impl java org eclips jdi intern refer type impl signatur refer type impl java org eclips jdi intern refer type impl refer type impl java org eclips jdt intern debug core model jdi refer type jdi java org eclips jdt intern debug ui jdi model present text jdi model present java org eclips jdt intern debug ui jdi model present variabl text jdi model present java org eclips jdt intern debug ui jdi model present text jdi model present java org eclips debug intern ui lazi model present text lazi model present java org eclips debug intern ui deleg model present text deleg model present java org eclips jface viewer tree viewer updat item tree viewer java org eclips jface viewer abstract tree viewer updat item abstract tree viewer java org eclips jface viewer structur viewer updat item structur viewer java org eclips jface viewer abstract tree viewer creat tree item abstract tree viewer java org eclips jface viewer abstract tree viewer creat children abstract tree viewer java org eclips jface viewer abstract tree viewer handl tree expand abstract tree viewer java org eclips jface viewer abstract tree viewer tree expand abstract tree viewer java org eclips swt widget type listen handl event type listen java org eclips swt widget event tabl send event event tabl java org eclips swt widget widget send event widget java org eclips swt widget tree wm notifi child tree java org eclips swt widget control wm notifi control java org eclips swt widget composit wm notifi composit java org eclips swt widget control window proc control java org eclips swt widget displai window proc displai java org eclips swt intern win os call window proc nativ method org eclips swt intern win os call window proc os java org eclips swt widget tree call window proc tree java org eclips swt widget tree wm lbuttondown tree java org eclips swt widget control window proc control java org eclips swt widget displai window proc displai java org eclips swt intern win os dispatch messag nativ method org eclips swt intern win os dispatch messag os java org eclips swt widget displai read dispatch displai java org eclips ui intern workbench run event loop workbench java org eclips ui intern workbench run workbench java org eclips core intern boot intern boot loader run intern boot loader java org eclips core boot boot loader run boot loader java java lang reflect method invok nativ method org eclips core launcher main basic run main java org eclips core launcher main run main java org eclips core launcher main main main java thx advanc,swt awt panel
16576,1,acc checkbox list real checkbox option list checkbox aren real checkbox ms inspect identfi role list item checkbox filter list page tabl compon column cell editor checkbox cell editor similar task list view complet column cell editor checkbox cell editor checkbox cell editor implement add real checkbox compon tabl icon enabl disabl state,acc list
16620,1,gc draw line gc draw polylin aren consist portabl window gc draw line gc draw poli line int thing draw polylin omit pixel effect draw connect box connect meet box end pixel gap end draw hollow arrow tip side arrow smaller becaus side miss pixel workaround work correctli xor line style consist platform,window gc draw gc draw thing draw polylin omit pixel effect draw connect box connect meet box pixel
16657,7,open mode search result doesn respond doubl click build pm workbench singl click select hover mode search refer find match java file singl click result search view open java editor close java editor open step doubl click result search result view respons doubl click result open singl click open result,result doesn click select singl click result java step result search result result singl result
16688,1,select background emul widget wrong build run eclips aix select back tree widget wrong red color affect netscap time run shutdown netscap color,select background run eclips widget color affect time run netscap color
16700,6,coolbar tab order backward build run attach test case press tab kei notic tab backward cool bar,cool bar
16775,1,tabl tree set select show item fail deepli nest item built tabl tree nest tabl tree item close tree call show item innermost child null argument child null don expand tree call show item level child item result set select call show item success higher level lower level item gradual open tree produc tabl tree tree tabl tree composit swt full select tabl tree item root tabl tree item tree swt root set text root tabl tree item child tabl tree item root swt child set text child tabl tree item child tabl tree item child swt child set text child child null tree show item child rais child unexpand java lang illeg argument argument null org eclips swt swt error swt java org eclips swt swt error swt java org eclips swt widget widget error widget java org eclips swt widget tabl index tabl java org eclips swt widget tabl set select tabl java org eclips swt custom tabl tree set select tabl tree java swt eclips build window machin,tabl tree set select show item fail item
16777,1,busi cursor lost progress edg busi show progress monitor dialog pixel border progress retain default cursor busi cursor activ progress monitor dialog reproduc check cv oper progress mous busi depend fast move cursor cursor flash border busi stop cursor correct pixel busi cursor back cursor behaviour observ window linux motif exhibit behaviour,cursor edg show progress monitor pixel retain activ check oper mous move cursor border cursor pixel cursor back observ linux
16791,3,select check box build linux gtk window prefer java instal jr es jr es defin click check box note don respond plai bit notic select check box click,select check
16808,1,icon window taskbar incorrect xp run eclips eclips note window icon runtim workbench correct occasion icon window taskbar incorrect default window icon perspect runtim workbench icon correct perspect updat window titl icon don time launch,window taskbar window icon occasion icon window taskbar incorrect icon updat window don time
16810,1,mous pointer updat build case photon mous pointer updat correct resiz drag case reproduc mous gripper cool item pointer replac move correct switch editor paint oper mous coolitem gripper cursor updat paint pointer remain stop gripper pointer updat,pointer build case photon pointer resiz drag item switch editor paint pointer updat
16828,1,tab folder flash tooltip window cursor bottom edg tab folder tab tooltip mous enter tooltip leav tab folder tooltip close repeat move mous note problem tab bottom folder,mous tab folder
16837,1,kei complet lost point pde test scenario photon point type editor anymor java editor pde editor restart eclips shortcut work,kei complet lost point photon point anymor
16986,1,java viewer rememb path java viewer rememb path file open time user open file walk file system easili file dialog,viewer
16987,1,combo respond mous wheel build bring eclips properti view put focu entri defin combobox step pde usag scenario keyboard arrow cycl item combobox wheel mous effect,keyboard arrow cycl item combobox mous effect
16995,1,hover creat top shell tooltip shell creat show tooltip top style caus main window loos focu tooltip shown,shell creat tooltip
17022,1,swt layout miss window titl start swt layout click code window titl,layout code
